store_nbr,item_nbr,onpromotion,city,type_x,cluster,family,perishable,type_y,locale,transferred,dcoilwtico,month,year,day
51,1576322,False,Guayaquil,A,17,CELEBRATION,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1465130,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1642401,False,Ambato,A,14,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1464201,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1464074,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,320681,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1501520,False,Manta,A,11,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,1368456,False,El Carmen,C,3,HOME AND KITCHEN I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,557241,False,Ambato,A,14,FROZEN FOODS,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1112840,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1430041,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,987768,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,789904,False,Manta,D,13,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1968073,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1920057,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1135438,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,623316,False,Ambato,A,14,MEATS,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1937083,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1920107,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1121616,False,Ambato,A,14,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1938600,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,933780,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1466039,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,371434,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,692105,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1412575,False,Guayaquil,A,17,POULTRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,108698,False,Guayaquil,A,17,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1033395,False,Manta,A,11,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,884878,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1052563,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,273859,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,511172,False,El Carmen,C,3,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1463859,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,911989,False,Manta,D,13,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1346629,False,Manta,A,11,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1038953,False,Guayaquil,A,17,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,1464194,False,El Carmen,C,3,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1349808,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,464374,False,El Carmen,C,3,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,767183,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,2006310,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1313222,False,Manta,D,13,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,2086882,False,Manta,A,11,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1900715,False,Ambato,A,14,PERSONAL CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1948632,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1472489,False,Manta,A,11,PET SUPPLIES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,2112404,True,Manta,D,13,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1415679,False,Manta,A,11,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,617548,True,Ambato,A,14,PERSONAL CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,890215,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1585782,True,El Carmen,C,3,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1726002,False,Guayaquil,A,17,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,946671,False,Manta,D,13,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,115720,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,105737,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1916208,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1441515,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,2087543,False,Guayaquil,A,17,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1146800,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1239915,False,El Carmen,C,3,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,982726,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,315320,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,949511,True,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,795610,False,Manta,A,11,FROZEN FOODS,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,939662,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1239954,False,El Carmen,C,3,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,2026983,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,2005613,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1584576,False,Manta,D,13,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,838407,False,Ambato,A,14,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,1114914,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,805788,True,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1453123,True,Guayaquil,A,17,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,2003389,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1463882,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1313222,False,El Carmen,C,3,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1464217,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,2011073,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,155607,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1281780,False,Manta,D,13,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1037856,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1239911,False,Manta,D,13,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,1935601,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1457256,False,Manta,A,11,HOME CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1584309,False,Manta,A,11,LADIESWEAR,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1134971,False,El Carmen,C,3,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1973606,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1964739,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,168931,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1239808,False,Ambato,A,14,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,2111684,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,554049,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1047735,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,275826,True,Manta,A,11,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1686664,False,Guayaquil,A,17,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,169104,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1932491,False,Manta,D,13,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1239720,True,Guayaquil,A,17,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,212550,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,222975,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1957078,False,Ambato,A,14,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1456931,True,Guayaquil,A,17,HOME CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1975527,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,557256,False,El Carmen,C,3,EGGS,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1463855,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,125430,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1695815,False,Manta,A,11,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,671684,False,Manta,A,11,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,645294,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,890372,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1167175,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,838215,False,Manta,A,11,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,315221,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,2010404,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,315320,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1937083,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,939661,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1339883,False,Guayaquil,A,17,FROZEN FOODS,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,457727,False,Manta,D,13,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1920141,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1226506,False,Manta,D,13,LAWN AND GARDEN,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,2043795,False,Manta,D,13,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1345067,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,314881,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1284221,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1391549,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1717663,False,Manta,D,13,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,723210,False,Ambato,A,14,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1660239,False,Manta,A,11,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,155601,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1084882,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1457417,False,Manta,D,13,HOME CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,796395,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,954805,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1228995,False,Guayaquil,A,17,PERSONAL CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1113852,False,Manta,A,11,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1471460,False,Guayaquil,A,17,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,223434,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2076761,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1176562,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1162761,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,847863,True,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,314570,False,Manta,D,13,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2108843,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,452212,True,Manta,A,11,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,818590,False,Ambato,A,14,HARDWARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2012410,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1463994,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,463458,True,Manta,D,13,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,882624,False,Manta,A,11,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1104599,False,Manta,A,11,PERSONAL CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,371438,False,Ambato,A,14,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1695907,True,El Carmen,C,3,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,1400331,False,Manta,A,11,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,165550,False,El Carmen,C,3,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,859932,False,Manta,D,13,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1987464,False,Manta,A,11,HOME CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1575239,False,Ambato,A,14,PLAYERS AND ELECTRONICS,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,866927,False,Guayaquil,A,17,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,215327,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,850334,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2027649,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1464907,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,265258,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1695925,False,Ambato,A,14,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1473427,False,Ambato,A,14,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,804098,False,El Carmen,C,3,SEAFOOD,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,999546,False,Manta,A,11,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1958249,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,1987120,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1464094,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,858872,False,Manta,D,13,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,1958191,False,Manta,D,13,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1459514,False,Ambato,A,14,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1457183,False,Manta,D,13,HOME CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1958175,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2030606,False,Manta,A,11,POULTRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,155600,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,557257,False,Ambato,A,14,EGGS,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,1037857,False,El Carmen,C,3,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1281780,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,769312,False,Manta,A,11,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,991329,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1166474,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,2087978,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2005844,False,Manta,A,11,HOME AND KITCHEN II,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,467808,False,Ambato,A,14,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1213906,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,464263,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1354714,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1464097,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2109909,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,255161,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,358096,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,583973,False,Manta,A,11,MEATS,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,2048323,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1501541,False,Ambato,A,14,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,638978,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,881912,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1253765,False,Ambato,A,14,PERSONAL CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
